#{"t_start": 1630091104.8534548, "env_id": null}
r,l,t
38.06379,50,834.393308
30.707363,42,835.412209
38.060135,56,837.054897
86.27756,98,837.613534
65.506134,104,840.382642
94.43873,114,840.382722
102.05601,112,840.762463
81.446,91,849.087665
21.131992,28,849.559668
56.625416,72,849.904226
38.407963,51,850.832142
126.29798,143,851.493226
37.51688,60,853.369284
19.017344,22,854.348795
22.573572,29,855.022802
40.358276,46,856.430618
66.367004,99,856.999635
75.27785,95,858.456948
22.11848,33,859.283652
39.310356,48,859.94536
32.314716,42,860.745484
8.871629,12,862.989643
23.451128,31,863.25317
31.044523,42,864.197616
69.751465,85,865.522015
37.615032,45,865.749219
11.354041,16,866.315549
39.47775,49,868.475823
79.65954,100,871.677641
56.325474,93,871.997736
24.051239,43,872.70331
57.223698,90,873.295065
105.85602,132,873.851171
43.271076,69,874.851787
117.39624,172,877.64928
45.254597,59,877.649343
36.905773,56,878.402611
140.12167,171,879.234999
75.00871,88,879.655721
25.225164,35,882.667186
35.71786,41,882.667262
7.511486,12,885.596801
18.362331,30,886.427096
45.547867,63,886.980429
15.25574,32,887.513701
50.480984,83,888.419173
54.501072,85,893.02066
29.097273,31,893.419482
117.92835,139,893.419566
82.8723,117,893.971712
21.306547,31,894.615182
21.207708,27,894.922808
57.22424,97,895.120751
9.250674,11,901.4222
82.29233,99,901.700493
68.31095,85,902.380679
50.60789,64,902.679415
129.6027,176,902.679508
16.273573,28,904.471158
124.8871,146,904.806432
23.78931,27,905.120381
6.5116067,11,905.459796
13.5598955,15,905.833085
85.59923,99,906.927783
87.35841,108,908.398268
9.037744,15,910.312316
36.661087,54,912.421231
12.618536,18,912.421292
71.455414,94,913.494438
29.269215,36,913.879292
37.387497,46,915.46405
42.11948,47,916.209259
63.500355,76,917.368409
36.67233,64,918.033067
50.19213,63,919.73098
77.100174,117,919.928839
20.176323,24,921.032265
30.008984,33,921.500167
72.89979,103,922.063535
26.058517,33,925.409346
15.266163,16,925.796829
44.88156,57,926.360034
107.31018,120,926.931042
19.719713,31,927.702317
30.938372,41,928.380293
85.65199,111,928.712442
54.399345,67,928.979068
20.045397,23,931.288763
54.727043,75,931.976063
10.407571,16,932.420279
57.424187,69,933.332175
85.38085,130,934.686691
27.392046,54,936.085518
12.78516,16,936.701461
15.161734,21,937.048403
28.328764,42,937.321348
29.276592,36,938.198908
105.85495,117,939.649412
21.774607,29,939.921067
72.070656,82,941.142003
48.16481,79,941.644742
10.325348,16,944.186268
43.366802,61,944.962208
25.085964,39,947.825079
39.233032,46,948.599431
45.43377,55,949.9273
50.864822,62,950.265657
80.650894,102,951.534603
57.43466,73,951.897003
37.490604,48,953.0498
156.82481,192,953.274788
87.40519,110,955.298736
58.898254,77,955.918422
35.619774,46,955.918497
14.399406,15,958.721287
64.00482,89,958.981257
24.233095,34,959.776601
34.709846,42,960.118022
87.0589,136,960.730075
35.967163,45,961.188009
6.4928126,12,963.301408
37.468678,40,968.973081
72.61576,104,970.174896
93.92472,116,971.285896
48.48447,66,971.285953
29.32596,37,971.469645
60.315,87,972.146603
22.484964,40,973.133065
35.591106,46,973.43048
43.86273,60,973.672861
49.754894,59,978.449467
66.59834,93,978.449544
17.495695,23,978.760577
110.90731,134,979.313276
66.76175,99,979.8238
26.86652,31,985.406714
45.275326,64,985.864629
72.30523,83,986.089643
56.223656,71,987.420852
115.379425,151,987.42093
48.580917,70,989.317466
61.59213,93,990.204534
15.174029,22,990.74479
34.80415,53,991.577351
54.275833,93,992.790282
36.73852,59,993.629193
17.067152,32,994.105078
62.247707,91,994.446974
87.01394,103,996.36929
61.384235,77,997.088956
30.552769,46,997.462059
37.095043,56,1001.195807
24.426775,30,1001.47356
18.7312,23,1002.677029
26.679468,33,1004.397138
35.324406,45,1004.744648
10.81589,15,1005.074725
52.57602,72,1005.422986
144.17136,176,1005.423052
36.611366,61,1005.82089
113.65886,150,1006.278813
45.17661,70,1006.873836
23.467144,45,1020.155281
27.673777,33,1021.346334
23.517666,26,1022.577303
16.884045,22,1022.577385
21.125095,25,1022.577408
21.27966,26,1023.33002
112.74236,143,1024.666305
58.53172,94,1027.220307
80.31203,103,1027.42209
19.15888,24,1027.823646
57.53689,63,1029.30518
72.86211,118,1031.501623
96.153336,108,1031.91113
42.374535,48,1033.604963
35.844696,48,1033.605043
35.65327,47,1035.63105
53.343285,70,1037.742203
69.18323,89,1037.742272
28.54506,46,1044.34046
15.045611,26,1045.853529
97.90359,106,1047.496531
39.301964,50,1049.419815
46.72088,58,1049.419895
62.582718,78,1049.961494
97.74857,126,1050.69449
23.08655,32,1053.07627
123.29467,136,1053.667916
28.683462,51,1053.667982
40.22398,44,1054.640903
84.321846,117,1054.64098
16.8286,23,1054.894134
92.9576,105,1056.088849
118.02583,136,1056.088926
70.597984,81,1056.730872
21.981586,27,1056.972991
6.643827,9,1058.208829
87.42606,112,1058.486784
16.129808,17,1059.061322
17.691208,19,1059.354233
22.313974,24,1059.654118
90.07452,102,1060.434134
19.779575,23,1060.434198
44.775043,56,1060.921537
35.434914,48,1061.14987
24.457582,33,1061.481122
10.585628,12,1064.11263
34.903248,43,1064.112694
25.273958,32,1067.681014
25.484503,39,1068.483012
98.1909,116,1069.301682
34.620007,45,1070.093618
31.937439,45,1070.583245
15.269963,28,1071.166759
53.42195,63,1072.432491
39.358475,48,1072.908663
35.58945,50,1073.242717
6.14562,10,1073.242775
70.313774,100,1074.3647
39.48029,70,1075.552504
37.66891,50,1076.451468
51.119957,68,1076.913195
57.070694,84,1077.657493
17.360916,22,1077.65756
23.040306,31,1078.709512
77.07265,94,1079.342118
24.11251,52,1080.932819
26.847158,33,1081.228175
33.79979,50,1081.228237
71.332634,103,1083.869421
21.607687,33,1084.57887
47.74768,61,1084.578936
23.770937,32,1085.727484
15.859759,18,1085.72755
25.922718,34,1086.336121
43.462727,53,1086.336185
19.682724,25,1087.470249
47.140644,67,1090.786603
86.68104,100,1094.351302
37.91976,43,1094.734687
29.019999,52,1096.85969
58.89267,75,1097.177214
8.534353,11,1097.442232
39.50887,60,1098.095927
52.985394,111,1099.782141
72.62964,102,1100.327668
73.08738,102,1101.929422
52.69361,65,1101.929484
